,Nombre,Enlace
0,GivenLengthandSumofDigits...,http://codeforces.com/problemset/problem/489/C
1,NumberofWays,http://codeforces.com/problemset/problem/466/C
2,Team,http://codeforces.com/problemset/problem/401/C
3,Exams,http://codeforces.com/problemset/problem/479/C
4,Boredom,http://codeforces.com/problemset/problem/455/A
5,TableDecorations,http://codeforces.com/problemset/problem/478/C
6,BeautifulSetsofPoints,http://codeforces.com/problemset/problem/268/C
7,k-Tree,http://codeforces.com/problemset/problem/431/C
8,ValeraandTubes,http://codeforces.com/problemset/problem/441/C
9,PalindromeTransformation,http://codeforces.com/problemset/problem/486/C
10,FixingTypos,http://codeforces.com/problemset/problem/363/C
11,HackingCypher,http://codeforces.com/problemset/problem/490/C
12,GargariandBishops,http://codeforces.com/problemset/problem/463/C
13,PocketBook,http://codeforces.com/problemset/problem/152/C
14,LuckySumofDigits,http://codeforces.com/problemset/problem/109/A
15,ArithmeticProgression,http://codeforces.com/problemset/problem/382/C
16,FoxandBoxAccumulation,http://codeforces.com/problemset/problem/388/A
17,Hexadecimal'sNumbers,http://codeforces.com/problemset/problem/9/C
18,XeniaandWeights,http://codeforces.com/problemset/problem/339/C
19,Bombs,http://codeforces.com/problemset/problem/350/C
20,PashmakandBuses,http://codeforces.com/problemset/problem/459/C
21,LittleElephantandProblem,http://codeforces.com/problemset/problem/220/A
22,Maze,http://codeforces.com/problemset/problem/377/A
23,IceSkating,http://codeforces.com/problemset/problem/217/A
24,Hamburgers,http://codeforces.com/problemset/problem/371/C
25,BearandPrimeNumbers,http://codeforces.com/problemset/problem/385/C
26,History,http://codeforces.com/problemset/problem/137/C
27,Checkposts,http://codeforces.com/problemset/problem/427/C
28,MashmokhandNumbers,http://codeforces.com/problemset/problem/414/A
29,Ladder,http://codeforces.com/problemset/problem/279/C
30,EscapefromStones,http://codeforces.com/problemset/problem/264/A
31,DivisionintoTeams,http://codeforces.com/problemset/problem/149/C
32,Barcode,http://codeforces.com/problemset/problem/225/C
33,Stripe,http://codeforces.com/problemset/problem/18/C
34,Mafia,http://codeforces.com/problemset/problem/348/A
35,CowsandSequence,http://codeforces.com/problemset/problem/283/A
36,ToAddorNottoAdd,http://codeforces.com/problemset/problem/231/C
37,Xor-tree,http://codeforces.com/problemset/problem/429/A
38,LCMChallenge,http://codeforces.com/problemset/problem/235/A
39,RationalResistance,http://codeforces.com/problemset/problem/343/A
40,PointsonLine,http://codeforces.com/problemset/problem/251/A
41,NotoPalindromes!,http://codeforces.com/problemset/problem/464/A
42,MagicFormulas,http://codeforces.com/problemset/problem/424/C
43,BeautifulNumbers,http://codeforces.com/problemset/problem/300/C
44,Quiz,http://codeforces.com/problemset/problem/337/C
45,Replacement,http://codeforces.com/problemset/problem/135/A
46,VasyaandRobot,http://codeforces.com/problemset/problem/354/A
47,CaptainMarmot,http://codeforces.com/problemset/problem/474/C
48,WinorFreeze,http://codeforces.com/problemset/problem/150/A
49,Matrix,http://codeforces.com/problemset/problem/364/A
50,LittleFrog,http://codeforces.com/problemset/problem/53/C
51,LuckySum,http://codeforces.com/problemset/problem/121/A
52,FighttheMonster,http://codeforces.com/problemset/problem/487/A
53,Triangle,http://codeforces.com/problemset/problem/407/A
54,ViewAngle,http://codeforces.com/problemset/problem/257/C
55,King'sPath,http://codeforces.com/problemset/problem/242/C
56,RoundTableKnights,http://codeforces.com/problemset/problem/71/C
57,Purification,http://codeforces.com/problemset/problem/329/A
58,MaximandDiscounts,http://codeforces.com/problemset/problem/261/A
59,TheClosestPair,http://codeforces.com/problemset/problem/311/A
60,DivisiblebySeven,http://codeforces.com/problemset/problem/375/A
61,Hometask,http://codeforces.com/problemset/problem/154/A
62,LittleElephantandInterval,http://codeforces.com/problemset/problem/204/A
63,DormWaterSupply,http://codeforces.com/problemset/problem/107/A
64,ShaassandLights,http://codeforces.com/problemset/problem/294/C
65,PrimeNumber,http://codeforces.com/problemset/problem/359/C
66,TheBrandNewFunction,http://codeforces.com/problemset/problem/243/A
67,AboutBacteria,http://codeforces.com/problemset/problem/198/A
68,MalekDanceClub,http://codeforces.com/problemset/problem/319/A
69,DimaandContainers,http://codeforces.com/problemset/problem/358/C
70,Trains,http://codeforces.com/problemset/problem/87/A
71,AlmostArithmeticalProgression,http://codeforces.com/problemset/problem/255/C
72,NewspaperHeadline,http://codeforces.com/problemset/problem/91/A
73,InnaandDima,http://codeforces.com/problemset/problem/374/C
74,HiringStaff,http://codeforces.com/problemset/problem/216/C
75,STL,http://codeforces.com/problemset/problem/190/C
76,PrimePermutation,http://codeforces.com/problemset/problem/123/A
77,FourSegments,http://codeforces.com/problemset/problem/14/C
78,FireAgain,http://codeforces.com/problemset/problem/35/C
79,BelowtheDiagonal,http://codeforces.com/problemset/problem/266/C
80,MailStamps,http://codeforces.com/problemset/problem/29/C
81,GrammarLessons,http://codeforces.com/problemset/problem/113/A
82,BracketSequence,http://codeforces.com/problemset/problem/223/A
83,Heroes,http://codeforces.com/problemset/problem/77/A
84,LiteratureLesson,http://codeforces.com/problemset/problem/138/A
85,ReducingFractions,http://codeforces.com/problemset/problem/222/C
86,Game,http://codeforces.com/problemset/problem/213/A
87,CuttingFigure,http://codeforces.com/problemset/problem/193/A
88,Trees,http://codeforces.com/problemset/problem/58/C
89,Hockey,http://codeforces.com/problemset/problem/95/A
90,Schedule,http://codeforces.com/problemset/problem/31/C
91,RectanglePuzzle,http://codeforces.com/problemset/problem/280/A
92,Disposition,http://codeforces.com/problemset/problem/49/C
93,Flea,http://codeforces.com/problemset/problem/32/C
94,HelpVictoriatheWise,http://codeforces.com/problemset/problem/98/A
95,CorporationMail,http://codeforces.com/problemset/problem/56/C
96,OptimalSum,http://codeforces.com/problemset/problem/182/C
97,OnNumberofDecompositionsintoMultipliers,http://codeforces.com/problemset/problem/396/A
98,BlockedPoints,http://codeforces.com/problemset/problem/392/A
99,Crossword,http://codeforces.com/problemset/problem/47/C
